	window	SMA_cbio_all	SMA_clinvar_all	cbio-clinvar	0line	difference_square	2.5SD	-2.5SD	max	min
0	25	0.0392156862745098	0.11428571428571428	-0.07507002801120448	0	0.005635509105603025	0.08144794030176886	-0.08144794030176886	0.5	-0.5
1	26	0.0392156862745098	0.10714285714285714	-0.06792717086834733	0	0.004614100542177655	0.08144794030176886	-0.08144794030176886	0.5	-0.5
2	27	0.0392156862745098	0.09285714285714286	-0.05364145658263306	0	0.0028774058643065074	0.08144794030176886	-0.08144794030176886	0.5	-0.5
3	28	0.0196078431372549	0.09285714285714286	-0.07324929971988796	0	0.005365459909453978	0.08144794030176886	-0.08144794030176886	0.5	-0.5
4	29	0.0196078431372549	0.08571428571428572	-0.06610644257703081	0	0.0043700617501902725	0.08144794030176886	-0.08144794030176886	0.5	-0.5
5	30	0.0196078431372549	0.08571428571428572	-0.06610644257703081	0	0.0043700617501902725	0.08144794030176886	-0.08144794030176886	0.5	-0.5
6	31	0.0196078431372549	0.09285714285714286	-0.07324929971988796	0	0.005365459909453978	0.08144794030176886	-0.08144794030176886	0.5	-0.5
7	32	0.0196078431372549	0.08571428571428572	-0.06610644257703081	0	0.0043700617501902725	0.08144794030176886	-0.08144794030176886	0.5	-0.5
8	33	0.0196078431372549	0.08571428571428572	-0.06610644257703081	0	0.0043700617501902725	0.08144794030176886	-0.08144794030176886	0.5	-0.5
9	34	0.0196078431372549	0.08571428571428572	-0.06610644257703081	0	0.0043700617501902725	0.08144794030176886	-0.08144794030176886	0.5	-0.5
10	35	0.0	0.07857142857142857	-0.07857142857142857	0	0.0061734693877551015	0.08144794030176886	-0.08144794030176886	0.5	-0.5
11	36	0.0	0.07857142857142857	-0.07857142857142857	0	0.0061734693877551015	0.08144794030176886	-0.08144794030176886	0.5	-0.5
12	37	0.0	0.07142857142857142	-0.07142857142857142	0	0.00510204081632653	0.08144794030176886	-0.08144794030176886	0.5	-0.5
13	38	0.0	0.07142857142857142	-0.07142857142857142	0	0.00510204081632653	0.08144794030176886	-0.08144794030176886	0.5	-0.5
14	39	0.0	0.07857142857142857	-0.07857142857142857	0	0.0061734693877551015	0.08144794030176886	-0.08144794030176886	0.5	-0.5
15	40	0.0	0.07857142857142857	-0.07857142857142857	0	0.0061734693877551015	0.08144794030176886	-0.08144794030176886	0.5	-0.5
16	41	0.0	0.07857142857142857	-0.07857142857142857	0	0.0061734693877551015	0.08144794030176886	-0.08144794030176886	0.5	-0.5
17	42	0.0	0.07142857142857142	-0.07142857142857142	0	0.00510204081632653	0.08144794030176886	-0.08144794030176886	0.5	-0.5
18	43	0.0	0.07142857142857142	-0.07142857142857142	0	0.00510204081632653	0.08144794030176886	-0.08144794030176886	0.5	-0.5
19	44	0.0	0.07857142857142857	-0.07857142857142857	0	0.0061734693877551015	0.08144794030176886	-0.08144794030176886	0.5	-0.5
20	45	0.0	0.08571428571428572	-0.08571428571428572	0	0.007346938775510205	0.08144794030176886	-0.08144794030176886	0.5	-0.5
21	46	0.0196078431372549	0.08571428571428572	-0.06610644257703081	0	0.0043700617501902725	0.08144794030176886	-0.08144794030176886	0.5	-0.5
22	47	0.0196078431372549	0.08571428571428572	-0.06610644257703081	0	0.0043700617501902725	0.08144794030176886	-0.08144794030176886	0.5	-0.5
23	48	0.0196078431372549	0.08571428571428572	-0.06610644257703081	0	0.0043700617501902725	0.08144794030176886	-0.08144794030176886	0.5	-0.5
24	49	0.0196078431372549	0.08571428571428572	-0.06610644257703081	0	0.0043700617501902725	0.08144794030176886	-0.08144794030176886	0.5	-0.5
25	50	0.0196078431372549	0.06428571428571428	-0.04467787114845938	0	0.001996112170358339	0.08144794030176886	-0.08144794030176886	0.5	-0.5
26	51	0.0196078431372549	0.06428571428571428	-0.04467787114845938	0	0.001996112170358339	0.08144794030176886	-0.08144794030176886	0.5	-0.5
27	52	0.0196078431372549	0.06428571428571428	-0.04467787114845938	0	0.001996112170358339	0.08144794030176886	-0.08144794030176886	0.5	-0.5
28	53	0.0196078431372549	0.05714285714285714	-0.03753501400560224	0	0.0014088772764007562	0.08144794030176886	-0.08144794030176886	0.5	-0.5
29	54	0.0196078431372549	0.05714285714285714	-0.03753501400560224	0	0.0014088772764007562	0.08144794030176886	-0.08144794030176886	0.5	-0.5
30	55	0.0196078431372549	0.05714285714285714	-0.03753501400560224	0	0.0014088772764007562	0.08144794030176886	-0.08144794030176886	0.5	-0.5
31	56	0.0196078431372549	0.05714285714285714	-0.03753501400560224	0	0.0014088772764007562	0.08144794030176886	-0.08144794030176886	0.5	-0.5
32	57	0.0196078431372549	0.05714285714285714	-0.03753501400560224	0	0.0014088772764007562	0.08144794030176886	-0.08144794030176886	0.5	-0.5
33	58	0.0196078431372549	0.05714285714285714	-0.03753501400560224	0	0.0014088772764007562	0.08144794030176886	-0.08144794030176886	0.5	-0.5
